Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,44,42,0,12,44
10,Success,47,39,1,13,47
10,Success,45,48,2,5,45
10,Success,57,27,0,12,57
10,Success,54,32,0,14,54
10,Success,45,37,0,10,45
10,Success,46,36,6,12,46
10,Success,47,41,1,11,47
10,Success,39,28,18,15,39
10,Success,53,37,1,9,53
10,Success,52,33,1,14,52
10,Success,43,32,2,23,43
10,Success,52,34,1,13,52
10,Success,47,39,0,12,47
10,Success,44,45,2,9,44
10,Success,56,29,0,15,56
10,Success,54,31,4,11,54
10,Success,42,34,8,16,42
10,Success,42,39,8,11,42
10,Success,49,34,5,12,49
10,Success,42,45,0,12,42
10,Success,43,42,4,11,43
10,Success,49,37,0,13,49
10,Success,51,35,0,11,51
10,Success,39,42,3,16,39
10,Success,52,30,0,9,52
10,Success,48,35,2,15,48
10,Success,47,38,0,14,47
10,Success,36,41,6,17,36
10,Success,45,37,0,14,45
10,Success,51,36,0,13,51
10,Success,50,36,0,12,50
10,Success,47,41,0,10,47
10,Success,52,30,0,15,52
10,Success,48,31,0,15,48
10,Success,46,29,9,16,46
10,Success,59,32,0,9,59
10,Success,49,37,3,11,49
10,Success,51,34,1,14,51
10,Success,52,36,5,7,52
10,Success,50,25,0,16,50
10,Success,50,39,0,8,50
10,Success,40,42,3,15,40
10,Success,42,39,2,17,42
10,Success,45,34,6,15,45
10,Success,52,40,0,5,52
10,Success,48,30,0,19,48
10,Success,46,42,0,12,46
10,Success,48,38,0,12,48
10,Success,51,33,0,8,51
10,Success,55,29,6,10,55
10,Success,63,25,0,10,63
10,Success,48,35,1,16,48
10,Success,43,42,0,14,43
10,Success,45,42,2,11,45
10,Success,47,39,0,14,47
10,Success,47,31,8,14,47
10,Success,45,40,2,13,45
10,Success,52,31,0,13,52
10,Success,40,34,0,16,40
10,Success,52,32,0,16,52
10,Success,47,40,0,11,47
10,Success,42,42,1,15,42
10,Success,49,36,1,14,49
10,Success,48,34,0,16,48
10,Success,49,37,0,14,49
10,Success,45,30,7,18,45
10,Success,50,35,0,15,50
10,Success,48,33,5,14,48
10,Success,48,26,0,15,48
10,Success,52,32,5,11,52
10,Success,42,41,5,12,42
