Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
2.3800000000000003,100,100.0,0.0,48.38,Success
2.3800000000000003,100,100.0,0.0,48.95,Success
46.25,100,81.0,19.0,49.38,Success
26.25,100,100.0,0.0,48.8,Success
41.25,100,99.0,1.0,49.19,Success
21.25,100,100.0,0.0,50.15,Success
18.75,100,100.0,0.0,49.54,Success
21.25,100,100.0,0.0,48.68,Success
28.749999999999996,100,100.0,0.0,49.58,Success
22.5,100,100.0,0.0,49.15,Success
0.0,100,100.0,0.0,47.7,Success
0.0,100,100.0,0.0,49.09,Success
0.0,100,100.0,0.0,49.42,Success
35.0,100,100.0,0.0,49.77,Success
25.0,100,100.0,0.0,49.3,Success
0.0,100,100.0,0.0,52.44,Success
33.33,100,89.0,11.0,46.92,Success
0.0,100,100.0,0.0,49.67,Success
0.0,100,100.0,0.0,49.56,Success
0.0,100,100.0,0.0,49.42,Success
8.33,100,100.0,0.0,49.17,Success
0.0,100,100.0,0.0,50.83,Success
0.0,100,100.0,0.0,47.08,Success
0.0,100,100.0,0.0,48.08,Success
23.75,100,100.0,0.0,48.8,Success
23.75,100,100.0,0.0,49.1,Success
18.75,100,100.0,0.0,49.83,Success
0.0,100,100.0,0.0,48.5,Success
0.0,100,100.0,0.0,48.92,Success
77.78,100,1.0,99.0,49.33,Failed
0.0,100,100.0,0.0,47.83,Success
10.0,100,100.0,0.0,47.8,Success
0.0,100,100.0,0.0,51.58,Success
0.0,100,100.0,0.0,49.67,Success
12.559999999999999,100,100.0,0.0,49.51,Success
21.25,100,100.0,0.0,49.16,Success
28.89,100,100.0,0.0,48.41,Success
11.33,100,100.0,0.0,48.53,Success
17.5,100,100.0,0.0,49.49,Success
18.75,100,100.0,0.0,48.73,Success
21.25,100,100.0,0.0,49.52,Success
11.110000000000001,100,100.0,0.0,49.2,Success
